"customer_id","first_name","last_name","rental_count","rental_duration_in_hour"
148,"Eleanor","Hunt","46","578"
144,"Clara","Shaw","42","556"
526,"Karl","Seal","45","533"
50,"Diane","Collins","35","521"
439,"Alexander","Fennell","36","503"
295,"Daisy","Bates","38","491"
366,"Brandon","Huey","37","485"
371,"Billy","Poulin","35","484"
38,"Martha","Gonzalez","34","477"
277,"Olga","Jimenez","32","476"
119,"Sherry","Marshall","34","466"
197,"Sue","Peters","40","463"
137,"Rhonda","Kennedy","39","462"
348,"Roger","Quintanilla","36","462"
86,"Jacqueline","Long","33","458"
267,"Margie","Wade","36","456"
506,"Leslie","Seward","35","454"
178,"Marion","Snyder","39","444"
46,"Catherine","Campbell","34","443"
207,"Gertrude","Castillo","34","442"
503,"Angel","Barclay","32","438"
380,"Russell","Brinson","36","436"
390,"Shawn","Heaton","33","435"
257,"Marsha","Douglas","37","435"
75,"Tammy","Sanders","41","434"
262,"Patsy","Davidson","28","434"
236,"Marcia","Dean","42","432"
138,"Hazel","Warren","34","431"
346,"Arthur","Simpkins","32","428"
274,"Naomi","Jennings","35","424"
196,"Alma","Austin","35","422"
29,"Angela","Hernandez","36","418"
403,"Mike","Way","35","418"
297,"Sherri","Rhodes","33","418"
204,"Rosemary","Schmidt","35","417"
469,"Wesley","Bull","40","417"
158,"Veronica","Stone","32","415"
362,"Nicholas","Barfield","32","414"
36,"Kathleen","Adams","27","414"
368,"Harry","Arce","35","414"
354,"Justin","Ngo","36","412"
468,"Tim","Cary","39","411"
103,"Gladys","Hamilton","31","410"
363,"Roy","Whiting","29","408"
566,"Casey","Mena","34","408"
329,"Frank","Waggoner","32","407"
66,"Janice","Ward","34","406"
198,"Elsie","Kelley","37","406"
230,"Joy","George","33","405"
84,"Sara","Perry","33","405"
161,"Geraldine","Perkins","30","405"
459,"Tommy","Collazo","38","404"
5,"Elizabeth","Brown","38","402"
451,"Jim","Rea","33","402"
575,"Isaac","Oglesby","29","400"
445,"Micheal","Forman","26","398"
90,"Ruby","Washington","28","398"
96,"Diana","Alexander","27","397"
408,"Manuel","Murrell","30","397"
27,"Shirley","Allen","31","397"
12,"Nancy","Thomas","28","396"
372,"Steve","Mackenzie","34","396"
102,"Crystal","Ford","33","394"
381,"Bobby","Boudreau","35","394"
383,"Martin","Bales","27","393"
147,"Joanne","Robertson","34","393"
317,"Edward","Baugh","28","393"
21,"Michelle","Clark","35","392"
418,"Jeff","East","30","392"
293,"Mae","Fletcher","31","392"
129,"Carrie","Porter","34","391"
190,"Yolanda","Weaver","27","391"
404,"Stanley","Scroggins","30","391"
108,"Tracy","Cole","30","389"
188,"Melanie","Armstrong","25","389"
538,"Ted","Breaux","29","389"
482,"Maurice","Crawley","29","388"
260,"Christy","Vargas","31","387"
157,"Darlene","Rose","31","386"
373,"Louis","Leone","35","386"
241,"Heidi","Larson","34","386"
